PLAYER,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$
"Eric Bledsoe
PorPG",185,,27,0.419,0.727,10.8,1.3,3.4,4,1.1,0.3,1.9,3.9,9.3,1.8,2.4,
"Deni AvdijaDTD
WshSF",186,,25.5,0.433,0.734,8.6,0.9,5.8,2.4,0.8,0.4,1.3,3.1,7.2,1.4,1.9,
"Steven AdamsDTD
MemC",187,,25,0.58,0.448,7.2,0,9.8,2.5,0.8,0.8,1.5,3,5.2,1.2,2.6,
"Malik Beasley
MilSG",188,,24.9,0.398,0.809,12.4,2.9,3.2,1.5,0.7,0.1,0.9,4.4,11.1,0.7,0.9,
"James Wiseman
DetC",189,,25.6,0.549,0.689,13.3,0.2,7.7,0.9,0.2,0.9,1.6,5.6,10.2,1.9,2.8,
"Jae'Sean TateDTD
HouSF",190,,21.5,0.493,0.705,9.1,0.6,4.1,2.3,0.8,0.4,1.4,3.6,7.3,1.3,1.9,
"Zach CollinsDTD
SAC",191,,20.8,0.516,0.77,10.4,0.8,5.9,2.6,0.5,0.7,1.9,4,7.7,1.7,2.2,$1
"Chris Boucher
TorPF",192,,20.9,0.487,0.772,9.9,0.9,5.9,0.4,0.6,1,0.6,3.6,7.3,1.9,2.4,
"Jae Crowder
MilPF",193,,25.7,0.414,0.79,8.9,1.9,4.8,1.8,1.1,0.4,0.7,3.1,7.4,0.9,1.1,
"Bones Hyland
LACPG",194,,19.3,0.399,0.847,11.2,2,2.5,3,0.7,0.3,1.4,3.8,9.5,1.5,1.8,
"Lonnie Walker IV
BknSF",195,,23.2,0.441,0.847,11.7,1.6,2.1,1.3,0.5,0.3,0.9,4.2,9.6,1.6,1.9,
"Larry Nance Jr.
NOPF",196,,20.7,0.568,0.696,6.4,0.3,5.1,1.8,0.9,0.5,0.7,2.7,4.7,0.8,1.1,
"Cameron Payne
SAPG",197,,25.3,0.421,0.809,12.5,1.7,3.1,5.5,0.8,0.3,2,4.8,11.4,1.3,1.6,
"Jonathan Kuminga
GSPF",198,,23.6,0.521,0.663,11.7,0.9,4.1,1.9,0.7,0.5,1.6,4.5,8.6,1.8,2.7,
"Josh Richardson
MiaSG",199,,27.9,0.432,0.877,11.7,1.8,3.2,2.7,1.1,0.4,1.4,4.2,9.8,1.4,1.6,
"Gordon Hayward
ChaSF",200,,26.1,0.473,0.815,12.4,1,3.6,3.4,0.7,0.2,1.6,4.6,9.8,2.2,2.7,
