PLAYER,RANK,GP,MIN,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA,A$
"Matisse Thybulle
PorSF",297,,24.1,0.457,0.711,5.5,0.9,2.5,1.1,1.7,0.9,0.5,2.1,4.7,0.4,0.5,
"Jeff Green
HouPF",298,,20.5,0.502,0.779,8.3,0.6,2.6,1.2,0.3,0.3,0.8,3,6,1.7,2.2,
"Victor OladipoDTD
OKCSG",299,,27,0.404,0.746,12.3,1.8,3.3,3.7,1.3,0.3,2.1,4.4,10.8,1.7,2.3,
"Justise WinslowDTD
PorSF",300,,21.6,0.408,0.634,6.4,0.4,4.7,2.5,0.9,0.5,1.3,2.6,6.4,0.8,1.2,
"Dwight Howard
LALC",301,,0,0.602,0.624,0,0,0,0,0,0,0,0,0,0,0,
"Nerlens Noel
SacC",302,,19.2,0.525,0.7,3.6,0,4.9,0.7,1.1,1.4,0.9,1.4,2.7,0.7,1,
"George Hill
IndPG",303,,15.7,0.455,0.821,4.5,0.6,1.7,1.8,0.5,0.1,0.6,1.5,3.4,0.7,0.9,
"Trayce Jackson-Davis
GSPF",304,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jordan McLaughlin
MinPG",305,,15.7,0.424,0.788,3.9,0.5,1.6,3.3,0.8,0.1,0.7,1.5,3.5,0.4,0.5,
"Dario Saric
GSPF",306,,15.7,0.452,0.843,7.4,0.8,3.7,1.3,0.5,0.1,1,2.6,5.8,1.3,1.6,
"Chuma Okeke
OrlPF",307,,19.2,0.376,0.759,4.9,1,3.6,1.4,0.7,0.4,0.6,1.7,4.5,0.6,0.8,
"Cody MartinDTD
ChaSF",308,,24.1,0.442,0.652,6.6,0.7,4,2.2,1,0.3,0.7,2.6,5.8,0.8,1.3,
"Goran Dragic
MilPG",309,,18.1,0.419,0.764,7.7,1,1.9,3.1,0.4,0.1,1.4,2.8,6.8,0.9,1.2,
"Dyson Daniels
NOPG",310,,20.7,0.429,0.65,4.6,0.5,3.7,2.7,0.9,0.2,1.1,1.8,4.1,0.5,0.8,
"Mike Muscala
WshC",311,,15.1,0.45,0.803,6.9,1.4,3.2,0.7,0.3,0.4,0.4,2.3,5.2,0.8,1,
"Evan Fournier
NYSG",312,,21.7,0.386,0.789,9.3,1.9,2.2,1.8,0.8,0.2,1,3.2,8.4,1,1.2,
"D.J. Wilson
TorPF",313,,12.7,0.45,0.714,5.6,0.7,3.4,0.8,0.5,0.4,0.6,2.1,4.6,0.8,1.1,
"Kendrick Nunn
WshSG",314,,17.1,0.444,0.872,8.7,1.3,1.9,1.6,0.5,0.1,1,3.4,7.6,0.6,0.7,
"Usman Garuba
GSPF",315,,12.6,0.478,0.611,2.9,0.3,4,0.8,0.6,0.4,0.6,1.1,2.3,0.4,0.6,
"Edmond Sumner
BknSG",316,,14.5,0.46,0.919,7.4,0.6,1.6,1.3,0.6,0.2,1,2.4,5.3,1.9,2.1,
"Oshae Brissett
BosPF",317,,25.6,0.391,0.729,9.5,1.2,5.1,1,0.8,0.3,0.8,2.9,7.5,2.5,3.4,
"R.J. Hampton
DetPG",318,,18.1,0.407,0.705,6.8,0.9,2.3,1.6,0.6,0.2,1.1,2.4,5.8,1.2,1.7,
"Jaxson Hayes
LALC",319,,14.4,0.575,0.722,5.8,0.1,3.2,0.7,0.4,0.5,0.7,2.2,3.8,1.4,1.9,
"Kira Lewis Jr.
NOPG",320,,12.7,0.414,0.855,5.4,0.6,1.4,1.6,0.5,0.1,0.6,2,4.9,0.7,0.8,
"Maurice Harkless
HouSF",321,,19.2,0.444,0.731,4.9,0.7,2.4,0.7,0.7,0.5,0.7,1.8,4.1,0.6,0.8,
"P.J. Tucker
PhiPF",322,,26.3,0.446,0.771,4.8,0.9,4.4,1.2,0.6,0.2,0.7,1.8,4,0.4,0.5,
"Dewayne Dedmon
PhiC",323,,13.5,0.547,0.714,5.8,0.3,4.7,0.7,0.3,0.6,0.8,2.2,4.1,1,1.4,
"Rudy Gay
OKCPF",324,,14,0.402,0.817,5.9,0.8,3,0.9,0.4,0.3,0.6,2.1,5.3,0.8,1,
"Derrick Rose
MemPG",325,,18.9,0.433,0.904,9.6,1,2.2,2.9,0.6,0.3,1.2,3.8,8.7,1.1,1.2,
"Austin Rivers
MinSG",326,,20.9,0.426,0.75,5.5,1,1.7,1.5,0.7,0.1,0.6,2,4.7,0.5,0.7,
"Josh Christopher
MemSG",327,,12.5,0.458,0.74,5.7,0.4,1.4,1.3,0.6,0.2,1,2.3,5,0.7,1,
"Duncan Robinson
MiaSG",328,,24.3,0.401,0.862,10,2.6,2.5,1.5,0.5,0.1,0.8,3.3,8.3,0.8,0.9,
"Nikola Jovic
MiaSF",329,,18.5,0.417,0.95,7.7,0.9,2.8,0.9,0.6,0.2,0.9,2.6,6.3,1.6,1.7,
"James Bouknight
ChaSG",330,,18.7,0.355,0.727,7.4,1.2,2.7,1.5,0.5,0.2,1.1,2.6,7.4,0.9,1.3,
"JaVale McGee
SacC",331,,12.5,0.612,0.654,6.9,0.1,4.7,0.5,0.2,0.9,1.1,2.9,4.8,1,1.5,
"Johnny DavisDTD
WshSG",332,,18,0.398,0.613,7.3,0.8,2.8,1.2,0.4,0.3,0.7,2.9,7.3,0.7,1.1,
"Gorgui Dieng
SAC",333,,10.2,0.417,0.733,3.7,0.7,3.1,1.3,0.2,0.4,0.8,1.3,3.2,0.4,0.5,
"Isaiah Roby
NYPF",334,,14.4,0.471,0.593,6,0.6,3.3,1.1,0.5,0.4,0.8,2.3,4.8,0.9,1.5,
"Damian Jones
CleC",335,,14.3,0.657,0.722,5.3,0.2,3.5,0.7,0.3,0.7,0.8,2,3.1,1,1.4,
"Aaron Holiday
HouPG",336,,13.9,0.417,0.833,4.3,0.6,1.2,1.5,0.6,0.2,0.6,1.6,3.8,0.5,0.6,
"Serge Ibaka
IndC",337,,14.3,0.5,0.718,6,0.6,3.9,0.8,0.2,0.6,0.7,2.4,4.9,0.6,0.8,
"Danuel House Jr.
PhiSF",338,,16.4,0.439,0.738,5.5,0.8,2.1,1,0.3,0.3,0.6,1.9,4.3,0.9,1.2,
"Raul Neto
ClePG",339,,15.8,0.477,0.833,5.8,0.5,1.6,2.3,0.6,0.1,0.8,2.2,4.6,0.9,1.1,
"Garrison Mathews
AtlSG",340,,19.6,0.401,0.817,7.3,1.6,2,0.7,0.6,0.2,0.4,2,5.1,1.6,2,
"Juan Toscano-Anderson
UtahPF",341,,14.7,0.489,0.659,3.8,0.3,2.7,1.7,0.5,0.3,0.8,1.5,3.1,0.5,0.7,
"James Johnson
IndPF",342,,16.7,0.458,0.563,5.1,0.4,3,1.7,0.5,0.5,0.7,2.1,4.6,0.5,0.9,
"Joshua Primo
SASG",343,,29.1,0.385,0.795,9.4,1,4,5.6,0.3,0.6,3.4,3.1,8,2.2,2.8,
"Ish Smith
DenPG",344,,14,0.42,0.6,4.5,0.2,1.9,3.1,0.5,0.3,1.1,2.1,4.9,0.2,0.3,
"Frank Kaminsky
HouC",345,,0,0.495,0.784,0,0,0,0,0,0,0,0,0,0,0,
"Furkan Korkmaz
PhiSG",346,,16,0.401,0.763,6.3,1,1.9,1.3,0.5,0.1,0.7,2.2,5.5,0.9,1.2,
"Khem Birch
SAC",347,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Bryn Forbes
MinSG",348,,11.7,0.361,1,3.9,0.6,0.7,0.7,0.3,0.1,0.5,1.3,3.6,0.7,0.7,
"Robin Lopez
MilC",349,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Garrett Temple
NOSG",350,,11.2,0.386,0.696,3.2,0.6,1.3,0.8,0.5,0.2,0.4,1.2,3,0.3,0.4,
"Dereck Lively II
DalC",351,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"James Nnaji
ChaC",352,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jarace WalkerDTD
IndPF",353,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Taylor Hendricks
UtahPF",354,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Noah Clowney
BknPF",355,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Kris Murray
PorPF",356,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Olivier-Maxence Prosper
DalPF",357,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Kobe BrownDTD
LACPF",358,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Mouhamed Gueye
AtlPF",359,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Tristan Vukcevic
WshPF",360,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Gregory Jackson II
MemPF",361,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jalen Wilson
BknPF",362,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Toumani Camara
PhxPF",363,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jalen Slawson
SacPF",364,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Tarik Biberovic
MemPF",365,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Cason Wallace
OKCPG",366,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Kobe Bufkin
AtlPG",367,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jalen Hood-SchifinoDTD
LALPG",368,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Marcus Sasser
DetPG",369,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Nick Smith Jr.DTD
ChaPG",370,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Isaiah Wong
IndPG",371,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Bilal Coulibaly
WshSF, SG",372,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jett Howard
OrlSF",373,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Cam Whitmore
HouSF",374,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Brice SensabaughDTD
UtahSF",375,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Leonard Miller
MinSF, PF",376,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Julian Phillips
ChiSF",377,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Hunter Tyson
DenSF",378,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jordan Walsh
BosSF",379,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Maxwell Lewis
LALSF",380,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jordan Miller
LACSF",381,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Emoni Bates
CleSF",382,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Keyontae Johnson
OKCSF",383,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Chris Livingston
MilSF",384,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Keyonte George
UtahSG",385,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Brandin Podziemski
GSSG",386,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Dariq WhiteheadDTD
BknSG",387,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Ben Sheppard
IndSG",388,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Julian Strawther
DenSG",389,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jalen Pickett
DenSG",390,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Colby Jones
SacSG, SF",391,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Amari Bailey
ChaSG",392,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Rayan Rupert
PorSG",393,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Sidy Cissoko
SASG",394,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Seth Lundy
AtlSG",395,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Mojave King
IndSG",396,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jaylen ClarkO
MinSG",397,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jaime Jaquez Jr.DTD
MiaSF",398,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Andre Jackson Jr.
MilSG",399,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Ricky RubioDTD
ClePG",400,,19.6,0.364,0.855,7.1,0.9,2.6,4.4,1,0.1,1.4,2.4,6.7,1.4,1.6,
"Montrezl HarrellO
PhiC",401,,15.8,0.623,0.707,8.2,0,3.9,1.1,0.3,0.5,0.8,3.2,5.1,1.8,2.6,
"Hassan Whiteside
UtahC",402,,17.3,0.627,0.6,8.2,0,7.2,0.4,0.3,1.5,0.9,3.3,5.3,1.5,2.5,
"Lonzo BallO
ChiPG",403,,30.8,0.418,0.75,12.6,2.9,4.7,5,1.6,0.7,2.1,4.5,10.8,0.7,0.9,
"Nemanja Bjelica
GSC",404,,16.1,0.464,0.734,6.2,0.7,4,2.2,0.5,0.3,1.2,2.3,4.9,0.9,1.2,
"Lou Williams
AtlSG",405,,0,0.4,0.863,0,0,0,0,0,0,0,0,0,0,0,
"Rajon Rondo
ClePG",406,,0,0.407,0.783,0,0,0,0,0,0,0,0,0,0,0,
"Enes Freedom
BosC",407,,8.5,0.574,0.789,3.4,0,3.7,0.3,0.1,0.3,0.4,1.4,2.5,0.6,0.7,
"D.J. Augustin
HouPG",408,,17.3,0.407,0.893,6.2,1.3,1.4,2.4,0.4,0,1.1,1.9,4.7,1,1.1,
"Eric Paschall
MinPF",409,,13.9,0.487,0.744,6.7,0.6,2.2,0.8,0.2,0.1,0.6,2.4,4.9,1.3,1.7,
"Carmelo Anthony
LALPF",410,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"LaMarcus Aldridge
BknPF",411,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Grant WilliamsDTD
DalPF",412,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Andrew Nembhard
IndPG",413,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Thanasis Antetokounmpo
MilSF",414,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Christian Braun
DenSG",415,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Gary Payton II
GSPG",416,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Sasha Vezenkov
SacPF",417,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Tacko Fall
CleC",418,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"AJ Griffin
AtlSF",419,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Paul Reed
PhiPF",420,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Josh Green
DalSG",421,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Blake Griffin
BosPF",422,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jaden HardyDTD
DalSG",423,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Corey Kispert
WshSF",424,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jalen Johnson
AtlSF",425,,13.8,0.494,0.625,5.3,0.4,3.7,1.1,0.5,0.4,0.6,2.1,4.3,0.6,1,
"Ochai AgbajiDTD
UtahSF",426,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Yuta Watanabe
PhxSF",427,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Kris Dunn
UtahPG",428,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jevon Carter
ChiPG",429,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Boban Marjanovic
HouC",430,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Drew Eubanks
PhxPF",431,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jaylin Williams
OKCC",432,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Nick Richards
ChaC",433,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"MarJon Beauchamp
MilSG",434,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Kenneth Lofton Jr.
MemPF",435,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Andre IguodalaDTD
GSSF",436,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Payton Pritchard
BosPG",437,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Ousmane Dieng
OKCSF",438,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Skylar Mays
PorSG",439,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Mac McClung
OrlSG",440,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Peyton Watson
DenSF",441,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Josh Okogie
PhxSG",442,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Jared Butler
WshSG",443,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Paul Zipser
ChiSF",444,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Max ChristieDTD
LALSG",445,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Sam Hauser
BosSF",446,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"RaiQuan Gray
BknPF",447,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Julian Champagnie
SASF, SG",448,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Wang Zhelin
MemC",449,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
"Cody Zeller
NOC",450,,--,--,--,,--,--,--,--,--,--,--,--,--,--,
