"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",37.1,100.4,30.6,8.6,7.9,0.8,0.5,1.3,3.9,23.5,8.9,10.5,3.4,2.2,2023-12-10
"De'Aaron Fox","Sacramento Kings","Vet",36.6,102.1,30.4,7,3.6,0.8,0.3,1.4,2.9,22.6,7.4,8,4.1,2.5,2023-12-10
"Shai Gilgeous-Alexander","Oklahoma City Thunder","Vet",36.4,102.2,30.1,6.2,4.2,0.9,0.9,1.8,2.6,20.9,10.1,2.8,6.2,2.7,2023-12-10
"Joel Embiid","Philadelphia 76ers","Vet",35.2,99,29.5,5.7,8.6,2.7,2,1,4.1,21.5,9.8,3.1,6.1,3.1,2023-12-10
"Nikola Jokic","Denver Nuggets","Vet",34.7,98.9,28.7,9.5,9.8,3.2,0.8,1.2,3.5,21.1,6.5,3.9,5.8,2.7,2023-12-10
"Stephen Curry","Golden State Warriors","Vet",35.8,101.9,28.2,5.6,4.7,0.7,0.3,1,3.1,19.8,5.7,11.6,2.3,2,2023-12-10
"Jayson Tatum","Boston Celtics","Vet",37.6,99.7,28.1,4.7,7.9,0.9,0.6,1.1,2.9,19.9,7.5,8.6,5.6,2.2,2023-12-10
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",35.3,102.4,28,5.8,9,3,1.2,1.1,3.9,19.8,10.3,1.6,9,3.2,2023-12-10
"Donovan Mitchell","Cleveland Cavaliers","Vet",36,100.2,28,5.2,4.6,1,0.4,1.5,2.9,20,6.1,8.5,5.2,2.3,2023-12-10
"Devin Booker","Phoenix Suns","Vet",36,98.4,27.6,7.2,4.5,1,0.4,1,3.4,18.9,7.3,4.7,3.5,3,2023-12-10
"Tyrese Haliburton","Indiana Pacers","Vet",35.1,103.9,26.1,10.6,3.3,0.7,0.5,1.5,2.6,18,4.6,9.1,3.8,1.3,2023-12-10
