"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Moses Moody","Golden State Warriors","Vet",10.8,97.5,5.2,0.6,1.1,0.4,0.1,0.3,0.4,4.1,0.8,2.3,0.8,0.8,2024-11-12
"Josh Green","Charlotte Hornets","Vet",19,98,5.2,1.2,1.5,0.6,0.2,0.6,0.5,3.9,0.5,2.6,1,1.6,2024-11-12
"Jared Butler","Washington Wizards","Vet",11.1,100.1,5.2,2.4,1,0.3,0.2,0.6,1,4,1.2,1.2,1.3,1.2,2024-11-12
"Jaime Jaquez Jr.","Miami Heat","Sophomore",12.1,96.3,5.2,1.2,1.4,0.5,0.1,0.4,0.8,4.2,1.1,1.3,1.3,1.1,2024-11-12
"Ja Morant","Memphis Grizzlies","Vet",7.1,100.3,5.1,2,1,0.2,0.1,0.2,0.9,3.9,1.5,1,1.1,0.4,2024-11-12
"Aaron Nesmith","Indiana Pacers","Vet",13.2,98.5,5.1,0.7,1.6,0.5,0.2,0.4,0.6,3.7,1,1.7,1.2,1.8,2024-11-12
"Spencer Dinwiddie","Dallas Mavericks","Vet",17.3,97.5,5.1,2.1,1.3,0.2,0.2,0.4,0.6,3.9,1.2,2.7,0.4,1.3,2024-11-12
"Kyle Anderson","Golden State Warriors","Vet",15.3,97.1,5.1,2.5,1.9,0.6,0.4,0.7,0.7,4.4,0.9,1.4,0.6,1.2,2024-11-12
"Ousmane Dieng","Oklahoma City Thunder","Vet",13.3,97.6,5.1,1.2,2.1,0.5,0.3,0.4,0.5,4.4,0.7,2.5,1.1,0.9,2024-11-12
"Dalen Terry","Chicago Bulls","Vet",14.9,100,4.9,1.4,1.6,0.9,0.5,0.6,0.8,3.7,1.3,1.4,1.9,1.8,2024-11-12
"Cole Anthony","Orlando Magic","Vet",10.2,96.2,4.9,1.4,1.4,0.3,0.2,0.3,0.8,4,1.1,1.7,0.7,1.1,2024-11-12
"Johnny Juzang","Utah Jazz","Vet",13,97.9,4.9,0.7,1.1,0.3,0.1,0.3,0.4,3.7,0.7,2.6,0.4,1.2,2024-11-12
"Kevin Durant","Phoenix Suns","Vet",7.2,98,4.8,0.8,1.1,0.1,0.2,0.2,0.6,3.4,1,1.2,0.5,0.4,2024-11-12
"Ben Sheppard","Indiana Pacers","Sophomore",16.2,100.8,4.7,0.9,1.5,0.4,0.1,0.5,0.5,3.8,0.3,2.9,0.8,1.6,2024-11-12
"Gary Trent Jr.","Milwaukee Bucks","Vet",11.3,99.6,4.7,0.6,0.9,0.1,0,0.5,0.3,4,0.6,2.4,0.5,0.8,2024-11-12
"Jonathan Isaac","Orlando Magic","Vet",12.1,96.5,4.6,0.4,2.1,1,0.8,0.6,0.4,3.6,0.8,1.9,1.1,0.9,2024-11-12
"Dean Wade","Cleveland Cavaliers","Vet",18,99.1,4.6,1.1,2.9,0.6,0.4,0.6,0.4,3.8,0.6,3.3,0.5,1.6,2024-11-12
"Andrew Nembhard","Indiana Pacers","Vet",11.7,98.2,4.6,1.9,0.8,0.2,0.1,0.4,0.7,3.7,0.6,1.2,0.8,1,2024-11-12
"Blake Wesley","San Antonio Spurs","Vet",13.5,97.5,4.6,2.2,1.1,0.3,0.1,0.5,1,3.7,1.2,1,1.9,1.3,2024-11-12
"Jay Huff","Memphis Grizzlies","Vet",8.7,102.2,4.5,0.5,1.3,0.4,0.7,0.2,0.3,2.9,0.7,2,0.8,1,2024-11-12
"Neemias Queta","Boston Celtics","Vet",13.3,96.4,4.5,0.5,2.6,1.7,0.7,0.3,0.5,3.6,0.9,0.1,2.2,1.6,2024-11-12
"Nick Richards","Charlotte Hornets","Vet",12.6,96.5,4.5,0.6,2.6,1.3,0.6,0.2,0.6,2.8,1.4,0.1,1.9,1.3,2024-11-12
"Julian Phillips","Chicago Bulls","Sophomore",12.8,100,4.5,0.5,1,0.7,0.2,0.5,0.5,3.5,0.9,1.9,1.3,1.4,2024-11-12
"Dillon Jones","Oklahoma City Thunder","Rookie",12.7,95.7,4.5,1.1,1.4,0.6,0.2,0.4,0.7,3.9,0.9,2.2,1.2,1.3,2024-11-12
"Mark Williams","Charlotte Hornets","Vet",10.1,98.4,4.4,0.5,2.1,1.1,0.4,0.3,0.4,3.5,1.1,0.6,1.9,1.1,2024-11-12
"Ausar Thompson","Detroit Pistons","Sophomore",12.4,98.6,4.4,0.8,2,0.9,0.4,0.5,0.6,3.9,0.9,1.2,1.5,1.4,2024-11-12
"Eric Gordon","Philadelphia 76ers","Vet",13.5,96.2,4.4,0.9,0.8,0.2,0.2,0.4,0.6,3.3,0.7,2.3,0.8,0.7,2024-11-12
"Keon Johnson","Brooklyn Nets","Vet",10.6,95.8,4.4,1.1,1.2,0.3,0.2,0.4,0.7,3.8,0.8,2.1,1.1,1.2,2024-11-12
"Jaxson Hayes","Los Angeles Lakers","Vet",13,98.9,4.3,0.5,2.2,1.3,0.5,0.4,0.6,2.6,1.3,0.2,2,1.7,2024-11-12
"Miles Bridges","Charlotte Hornets","Vet",8.1,97.7,4.2,0.7,1.4,0.2,0.1,0.2,0.4,3.4,0.7,1.5,1.1,0.4,2024-11-12
"Nicolas Batum","Los Angeles Clippers","Vet",17.8,97.3,4.2,1.5,2.2,0.7,0.5,0.6,0.6,3.4,0.5,2.6,0.5,1.5,2024-11-12
"Daniel Theis","New Orleans Pelicans","Vet",13.8,96.4,4.2,1,2.4,1,0.6,0.3,0.6,3.4,0.6,1.1,1.3,1.7,2024-11-12
"Jamal Cain","New Orleans Pelicans","Vet",11.4,95.9,4.1,0.5,1.3,0.6,0.2,0.4,0.4,3.2,0.7,1.6,0.8,1.2,2024-11-12
"Obi Toppin","Indiana Pacers","Vet",8.8,100.7,4,0.7,1.3,0.4,0.2,0.2,0.4,2.9,0.6,1.3,1.1,0.7,2024-11-12
"Jock Landale","Houston Rockets","Vet",9.6,98.6,3.9,0.6,1.3,0.9,0.3,0.2,0.4,2.9,1,0.7,1.2,1.1,2024-11-12
"Mason Plumlee","Phoenix Suns","Vet",13.7,96.5,3.9,1.2,3.1,1.4,0.4,0.3,0.6,2.5,1.5,0.1,1.8,1.7,2024-11-12
"Jarace Walker","Indiana Pacers","Sophomore",11.1,98.1,3.9,0.9,1.7,0.4,0.3,0.5,0.6,3.3,0.5,1.8,0.7,1,2024-11-12
"Ryan Dunn","Phoenix Suns","Rookie",10.9,99.5,3.9,0.6,1.3,0.4,0.2,0.3,0.3,3.3,0.3,2.2,0.7,1.2,2024-11-12
"Bruce Brown","Toronto Raptors","Vet",10.6,98.1,3.8,1,1.2,0.3,0.1,0.4,0.6,3.2,0.7,0.9,0.9,1,2024-11-12
"Reed Sheppard","Houston Rockets","Rookie",11.6,98.8,3.8,1.8,0.9,0.3,0,0.4,0.6,3.4,0.4,1.8,0.5,1,2024-11-12
"Marvin Bagley III","Washington Wizards","Vet",7.2,98.8,3.7,0.3,1.3,0.8,0.2,0.2,0.4,2.8,0.8,0.4,1.4,0.6,2024-11-12
"Noah Clowney","Brooklyn Nets","Sophomore",10.6,96.6,3.7,0.5,1.6,0.6,0.4,0.3,0.4,3,0.8,1.7,1.1,1.2,2024-11-12
"Ronald Holland II","Detroit Pistons","Rookie",9.8,98.1,3.7,0.4,1.3,0.4,0.1,0.3,0.4,3.2,0.6,1.5,1,1,2024-11-12
"Antonio Reeves","New Orleans Pelicans","Rookie",10.8,96.4,3.7,0.8,1.1,0.3,0.1,0.3,0.5,3.5,0.6,2.4,0.8,0.9,2024-11-12
"Paul Reed","Detroit Pistons","Vet",8.8,96.4,3.6,0.5,1.6,1,0.5,0.4,0.4,2.7,0.6,0.3,1.4,1.3,2024-11-12
"Pat Connaughton","Milwaukee Bucks","Vet",13.9,97.5,3.5,1.3,1.5,0.4,0.1,0.4,0.5,2.9,0.5,2,0.8,0.9,2024-11-12
"Marcus Smart","Memphis Grizzlies","Vet",8,100.3,3.4,1.1,0.7,0.2,0.1,0.4,0.6,2.8,0.7,1.5,0.4,0.8,2024-11-12
"Cam Reddish","Los Angeles Lakers","Vet",14.5,96.9,3.4,0.6,1.3,0.4,0.2,0.6,0.4,2.6,0.5,1.2,1,1,2024-11-12
"Cody Williams","Utah Jazz","Rookie",13.1,98.7,3.4,0.7,1.3,0.5,0.2,0.4,0.5,3.1,0.5,1.6,0.8,0.9,2024-11-12
"Donovan Clingan","Portland Trail Blazers","Rookie",9.9,99.6,3.4,0.3,1.9,1.2,0.9,0.2,0.6,2.4,0.9,0.3,1.8,1.7,2024-11-12
"Josh Richardson","Miami Heat","Vet",10.8,97,3.4,0.9,0.9,0.2,0.1,0.4,0.4,3.2,0.4,2,0.3,1,2024-11-12
"John Konchar","Memphis Grizzlies","Vet",17.6,100.7,3.2,1.4,2.8,1.1,0.6,0.8,0.6,2.6,0.5,1.9,0.8,1.4,2024-11-12
"Sandro Mamukelashvili","San Antonio Spurs","Vet",7.5,99.5,3.2,0.5,1.6,0.7,0.2,0.2,0.3,2.5,0.5,1.2,0.9,0.7,2024-11-12
"Precious Achiuwa","New York Knicks","Vet",9.9,95.6,3.2,0.5,1.7,1.1,0.4,0.3,0.5,2.4,0.7,0.5,1.5,1.1,2024-11-12
"Cameron Payne","New York Knicks","Vet",7.6,95.9,3.2,1.2,0.6,0.1,0.1,0.2,0.4,3,0.3,1.7,0.5,0.8,2024-11-12
"Seth Curry","Charlotte Hornets","Vet",9.7,99.3,3.2,0.6,0.7,0.2,0.1,0.3,0.3,2.9,0.3,1.6,0.2,0.8,2024-11-12
"Gary Payton II","Golden State Warriors","Vet",8.9,98.7,3.1,0.7,0.8,0.7,0.2,0.5,0.4,2.2,0.4,0.6,1.2,1.1,2024-11-12
"Isaiah Jackson","Indiana Pacers","Vet",7.4,100.5,3.1,0.4,1.4,0.9,0.6,0.3,0.4,2,0.9,0.1,1.6,1.2,2024-11-12
"Gary Harris","Orlando Magic","Vet",13.5,97.5,3.1,0.6,0.8,0.3,0.2,0.5,0.3,2.8,0.3,2.2,0.3,1,2024-11-12
"Patrick Baldwin Jr.","Washington Wizards","Vet",7.7,99.8,3,0.4,1.4,0.3,0.2,0.3,0.3,2.5,0.5,1.6,0.7,0.8,2024-11-12
"Moussa Diabate","Charlotte Hornets","Vet",11.8,94.3,3,0.5,2.5,1.5,0.4,0.3,0.5,2.1,0.8,0.1,1.4,1.2,2024-11-12
"Gabe Vincent","Los Angeles Lakers","Vet",13,97.5,3,0.8,0.8,0.2,0,0.5,0.4,2.9,0.2,1.9,0.3,1.1,2024-11-12
"James Wiseman","Indiana Pacers","Vet",7.4,98.8,3,0.4,1.5,0.8,0.2,0.1,0.5,2.4,0.8,0.2,1,1,2024-11-12
"Dalton Knecht","Los Angeles Lakers","Rookie",8.6,98.7,3,0.5,0.8,0.2,0.1,0.2,0.3,2.6,0.3,1.8,0.4,0.6,2024-11-12
"Andre Jackson Jr.","Milwaukee Bucks","Sophomore",13.1,97.6,2.8,1.2,1.6,0.7,0.2,0.5,0.7,2.3,0.3,1.3,0.5,1.7,2024-11-12
"Pelle Larsson","Miami Heat","Rookie",7.8,98.3,2.7,0.8,0.7,0.2,0.1,0.3,0.4,2,0.5,1.2,0.5,0.7,2024-11-12
"Johnny Davis","Washington Wizards","Vet",8.8,101.2,2.7,0.5,0.8,0.3,0.1,0.3,0.3,2.3,0.6,0.6,1,0.9,2024-11-12
"Patty Mills","Utah Jazz","Vet",9.7,99.7,2.6,0.8,0.6,0.1,0.1,0.3,0.4,2.4,0.2,1.9,0.2,0.8,2024-11-12
"Keaton Wallace","Atlanta Hawks","Rookie",7.4,98.8,2.6,0.8,0.6,0.1,0.1,0.3,0.4,2.2,0.4,1,0.4,0.6,2024-11-12
"Jaden Hardy","Dallas Mavericks","Vet",5.7,98.9,2.6,0.6,0.5,0.1,0,0.2,0.3,2.3,0.4,1.2,0.4,0.5,2024-11-12
"Larry Nance Jr.","Atlanta Hawks","Vet",7,97.1,2.5,0.6,1.1,0.6,0.1,0.3,0.3,1.8,0.4,0.7,0.7,0.8,2024-11-12
"Isaiah Collier","Utah Jazz","Rookie",7.3,100,2.5,1,0.7,0.1,0.1,0.3,0.5,2.2,0.4,1.3,0.6,0.6,2024-11-12
"Robert Williams III","Portland Trail Blazers","Vet",6.5,99.4,2.4,0.3,1.3,0.7,0.4,0.2,0.3,1.7,0.5,0.4,1,0.7,2024-11-12
"Tidjane Salaün","Charlotte Hornets","Rookie",8.9,97.6,2.4,0.5,1.4,0.4,0.1,0.2,0.3,2.2,0.3,1.4,0.5,0.7,2024-11-12
"Josh Okogie","Phoenix Suns","Vet",6.7,97.3,2.3,0.4,0.7,0.4,0.1,0.3,0.3,1.9,0.8,1,0.7,0.6,2024-11-12
"Christian Wood","Los Angeles Lakers","Vet",5.3,97.8,2.3,0.3,1.2,0.3,0.2,0.1,0.3,1.8,0.6,0.7,0.5,0.5,2024-11-12
"Aaron Holiday","Houston Rockets","Vet",5.5,99.5,2.3,0.7,0.4,0.1,0,0.2,0.3,1.9,0.3,1,0.3,0.5,2024-11-12
"Jeff Dowtin","Philadelphia 76ers","Vet",6.5,97.6,2.3,0.7,0.6,0.1,0.1,0.2,0.2,1.8,0.4,0.7,0.4,0.4,2024-11-12
"Jamison Battle","Toronto Raptors","Rookie",6.6,96.5,2.3,0.4,0.8,0.3,0.1,0.2,0.2,1.9,0.3,1.5,0.3,0.8,2024-11-12
"Doug McDermott","Sacramento Kings","Vet",6.6,98.5,2.3,0.4,0.5,0.1,0.1,0.1,0.2,2,0.2,1.7,0.2,0.5,2024-11-12
"Kyle Filipowski","Utah Jazz","Rookie",7,99.1,2.3,0.5,1.2,0.4,0.2,0.2,0.4,1.8,0.4,0.9,0.6,0.9,2024-11-12
"Trey Jemison","New Orleans Pelicans","Sophomore",7.5,96,2.3,0.4,1.1,0.9,0.4,0.2,0.5,1.8,0.4,0.1,1,1.1,2024-11-12
"Luke Kornet","Boston Celtics","Vet",8,97.5,2.2,0.5,1.2,0.9,0.4,0.2,0.3,1.4,0.5,0.1,1.2,0.7,2024-11-12
"Talen Horton-Tucker","Chicago Bulls","Vet",4.8,99.9,2.2,0.7,0.6,0.1,0.1,0.2,0.3,1.9,0.6,0.8,0.5,0.4,2024-11-12
"Jonathan Mogbo","Toronto Raptors","Rookie",6.6,98.8,2.2,0.6,0.9,0.8,0.2,0.2,0.4,1.6,0.7,0.3,0.9,0.9,2024-11-12
"Kris Murray","Portland Trail Blazers","Sophomore",7.3,98.9,2.2,0.4,0.8,0.5,0.1,0.3,0.3,1.8,0.4,0.9,0.6,0.6,2024-11-12
"Rayan Rupert","Portland Trail Blazers","Sophomore",7.6,99.7,2.2,0.5,0.8,0.3,0,0.2,0.3,1.9,0.3,1,0.5,0.7,2024-11-12
"Jamal Shead","Toronto Raptors","Rookie",6.2,97.8,2.2,1.2,0.4,0.1,0,0.2,0.5,2,0.4,0.8,0.4,0.7,2024-11-12
"Thomas Bryant","Miami Heat","Vet",5,96.7,2.1,0.2,1.1,0.4,0.2,0.1,0.2,1.5,0.4,0.5,0.7,0.5,2024-11-12
"Kevin Love","Miami Heat","Vet",4.5,96.8,2.1,0.4,1.1,0.3,0.1,0.1,0.3,1.7,0.5,1.2,0.3,0.5,2024-11-12
"Matas Buzelis","Chicago Bulls","Rookie",6.6,99.8,2.1,0.3,1,0.5,0.2,0.2,0.3,1.8,0.4,0.8,0.6,0.9,2024-11-12
"Jeff Green","Houston Rockets","Vet",5.2,97,2.1,0.3,0.6,0.2,0.1,0.1,0.2,1.7,0.5,0.9,0.3,0.4,2024-11-12
"Vit Krejci","Atlanta Hawks","Vet",7.4,98,2,0.6,0.6,0.2,0.1,0.2,0.3,1.5,0.3,1,0.3,0.8,2024-11-12
"Dwight Powell","Dallas Mavericks","Vet",8.7,96.8,1.9,0.6,1.3,0.9,0.2,0.3,0.3,1.2,0.9,0.1,0.9,1.4,2024-11-12
"Wendell Carter Jr.","Orlando Magic","Vet",5,97.3,1.9,0.3,1,0.4,0.1,0.1,0.2,1.4,0.5,0.6,0.5,0.5,2024-11-12
"Ryan Rollins","Milwaukee Bucks","Vet",5.1,98.8,1.9,0.6,0.6,0.2,0.2,0.2,0.4,1.4,0.4,0.5,0.3,0.6,2024-11-12
"Mitchell Robinson","New York Knicks","Vet",7.9,97.4,1.8,0.3,1.3,1.1,0.4,0.3,0.3,1.3,0.7,0.2,1.2,0.9,2024-11-12
"Luka Garza","Minnesota Timberwolves","Vet",3,99.6,1.8,0.1,0.4,0.3,0,0.1,0.2,1.5,0.5,0.5,0.5,0.4,2024-11-12
"Bruno Fernando","Toronto Raptors","Vet",4.6,96.2,1.8,0.4,0.8,0.5,0.2,0.1,0.3,1.3,0.5,0,0.8,0.9,2024-11-12
