"Player","Team","Experience","Minutes","Pace","PTS","AST","DREB","OREB","BLK","STL","TOV","FGA","FTA","FG3A","RimFGA","PF","date_of_projection"
"Luka Doncic","Dallas Mavericks","Vet",38.1,98.6,30.4,9.7,8.5,0.9,0.5,1.5,4.3,23.1,7.8,10.4,3.3,2.2,2024-06-30
"Jalen Brunson","New York Knicks","Vet",34.9,93.4,28.4,6.8,2.9,0.5,0.2,1,2.7,21.2,6.9,6.8,3.8,1.8,2024-06-30
"Giannis Antetokounmpo","Milwaukee Bucks","Vet",35.3,97.7,27.7,6.6,9.4,2.8,1,1.1,3.8,18.8,10,1.3,8.7,3,2024-06-30
"Kyrie Irving","Dallas Mavericks","Vet",37.2,97.7,26.9,5,4.2,0.8,0.5,1.3,2,19.3,3.9,7.4,3.2,2,2024-06-30
"Nikola Jokic","Denver Nuggets","Vet",35.1,97.4,26.6,8.1,10.5,2.6,0.9,1.4,3.2,18,5.7,2.9,5.3,2.4,2024-06-30
"Devin Booker","Phoenix Suns","Vet",35.6,97.4,26.2,6.6,3.4,0.8,0.4,1,2.8,18.5,6.2,6.4,3.1,2.8,2024-06-30
"Victor Wembanyama","San Antonio Spurs","Rookie",34.4,99.2,25.1,5.5,9.9,2.5,3.2,1.4,4,19.4,6.7,7.3,6,2.5,2024-06-30
"Anthony Edwards","Minnesota Timberwolves","Vet",34.9,95.6,24.9,5.3,4.7,0.7,0.6,1.4,3,18.6,6,6.7,5,1.7,2024-06-30
"De'Aaron Fox","Sacramento Kings","Vet",35.9,97.3,24.9,5.5,3.7,0.8,0.4,1.8,2.5,20.2,4.9,8.1,2.8,2.4,2024-06-30
"Tyrese Maxey","Philadelphia 76ers","Vet",37,95.7,24.3,5.4,3.1,0.5,0.4,1,2,19.8,5.2,7.5,5.1,2,2024-06-30
"Zion Williamson","New Orleans Pelicans","Vet",33.6,97.3,24.3,5.4,4.4,1.9,0.9,1.1,3.1,16.4,7.8,0.3,8.9,2.4,2024-06-30
"Kevin Durant","Phoenix Suns","Vet",35.9,97.1,24.2,4.7,5.9,0.6,1.1,0.9,2.8,17.8,4.8,5.7,2.4,1.6,2024-06-30
"DeMar DeRozan","Chicago Bulls","Vet",37.2,94.7,23.9,5.2,3.9,0.5,0.5,1.1,2.2,17.6,7.8,2.2,3.7,1.9,2024-06-30
"Jaylen Brown","Boston Celtics","Vet",33.5,96.3,23.4,3.3,4.2,1.2,0.5,1.2,2.4,17.7,4.5,5.9,5.2,2.4,2024-06-30
"Paul George","Los Angeles Clippers","Vet",34.4,94.6,22.8,3.6,4.8,0.6,0.5,1.5,2.2,16.6,4.4,7.6,2.6,2.6,2024-06-30
"Damian Lillard","Milwaukee Bucks","Vet",35.9,98.8,22.7,6.8,3.8,0.5,0.3,1,2.8,17.5,6.7,8.2,3.6,2,2024-06-30
"Cam Thomas","Brooklyn Nets","Vet",34,96,22.6,3.3,3.1,0.5,0.2,0.9,2.2,18,5.3,6.2,3.1,2.1,2024-06-30
"Jalen Green","Houston Rockets","Vet",35,98,22.4,4.3,4.8,0.6,0.4,1,2.8,17.5,4.9,8.4,4.6,1.6,2024-06-30
"Dejounte Murray","Atlanta Hawks","Vet",35.4,98.9,22.3,7.5,4.4,0.7,0.3,1.5,2.8,18.6,3.1,8.1,3.3,1.7,2024-06-30
